LOCATION,TIME,Value,Country
FRA,1960,2.74,France
FRA,1961,2.82,France
FRA,1962,2.8,France
FRA,1963,2.9,France
FRA,1964,2.91,France
FRA,1965,2.85,France
FRA,1966,2.8,France
FRA,1967,2.67,France
FRA,1968,2.59,France
FRA,1969,2.53,France
FRA,1970,2.48,France
FRA,1971,2.5,France
FRA,1972,2.42,France
FRA,1973,2.31,France
FRA,1974,2.11,France
FRA,1975,1.93,France
FRA,1976,1.83,France
FRA,1977,1.86,France
FRA,1978,1.82,France
FRA,1979,1.86,France
FRA,1980,1.95,France
FRA,1981,1.95,France
FRA,1982,1.91,France
FRA,1983,1.78,France
FRA,1984,1.8,France
FRA,1985,1.81,France
FRA,1986,1.83,France
FRA,1987,1.8,France
FRA,1988,1.81,France
FRA,1989,1.79,France
FRA,1990,1.78,France
FRA,1991,1.77,France
FRA,1992,1.73,France
FRA,1993,1.66,France
FRA,1994,1.66,France
FRA,1995,1.71,France
FRA,1996,1.73,France
FRA,1997,1.73,France
FRA,1998,1.76,France
FRA,1999,1.79,France
FRA,2000,1.87,France
FRA,2001,1.88,France
FRA,2002,1.86,France
FRA,2003,1.87,France
FRA,2004,1.9,France
FRA,2005,1.92,France
FRA,2006,1.98,France
FRA,2007,1.95,France
FRA,2008,1.99,France
FRA,2009,1.99,France
FRA,2010,2.02,France
FRA,2011,2,France
FRA,2012,1.99,France
FRA,2013,1.97,France
FRA,2014,1.97,France
FRA,2015,1.93,France
FRA,2016,1.89,France
FRA,2017,1.86,France
FRA,2018,1.84,France
FRA,2019,1.83,France
FRA,2020,1.8,France
DEU,1960,2.37,Germany
DEU,1961,2.44,Germany
DEU,1962,2.44,Germany
DEU,1963,2.51,Germany
DEU,1964,2.53,Germany
DEU,1965,2.5,Germany
DEU,1966,2.51,Germany
DEU,1967,2.45,Germany
DEU,1968,2.36,Germany
DEU,1969,2.21,Germany
DEU,1970,2.03,Germany
DEU,1971,1.97,Germany
DEU,1972,1.74,Germany
DEU,1973,1.56,Germany
DEU,1974,1.53,Germany
DEU,1975,1.48,Germany
DEU,1976,1.51,Germany
DEU,1977,1.51,Germany
DEU,1978,1.5,Germany
DEU,1979,1.5,Germany
DEU,1980,1.56,Germany
DEU,1981,1.53,Germany
DEU,1982,1.51,Germany
DEU,1983,1.43,Germany
DEU,1984,1.39,Germany
DEU,1985,1.37,Germany
DEU,1986,1.41,Germany
DEU,1987,1.43,Germany
DEU,1988,1.46,Germany
DEU,1989,1.42,Germany
DEU,1990,1.45,Germany
DEU,1991,1.33,Germany
DEU,1992,1.29,Germany
DEU,1993,1.28,Germany
DEU,1994,1.24,Germany
DEU,1995,1.25,Germany
DEU,1996,1.32,Germany
DEU,1997,1.37,Germany
DEU,1998,1.36,Germany
DEU,1999,1.36,Germany
DEU,2000,1.38,Germany
DEU,2001,1.35,Germany
DEU,2002,1.34,Germany
DEU,2003,1.34,Germany
DEU,2004,1.36,Germany
DEU,2005,1.34,Germany
DEU,2006,1.33,Germany
DEU,2007,1.37,Germany
DEU,2008,1.38,Germany
DEU,2009,1.36,Germany
