LOCATION,TIME,Value,Country,Year
FRA,1970,18.2,France,1970
FRA,1971,17.2,France,1971
FRA,1972,16.1,France,1972
FRA,1973,15.5,France,1973
FRA,1974,14.7,France,1974
FRA,1975,13.8,France,1975
FRA,1976,12.5,France,1976
FRA,1977,11.4,France,1977
FRA,1978,10.7,France,1978
FRA,1979,10,France,1979
FRA,1980,10,France,1980
FRA,1981,9.7,France,1981
FRA,1982,9.5,France,1982
FRA,1983,9.1,France,1983
FRA,1984,8.3,France,1984
FRA,1985,8.3,France,1985
FRA,1986,8,France,1986
FRA,1987,7.8,France,1987
FRA,1988,7.8,France,1988
FRA,1989,7.5,France,1989
FRA,1990,7.3,France,1990
FRA,1991,7.3,France,1991
FRA,1992,6.8,France,1992
FRA,1993,6.5,France,1993
FRA,1994,5.9,France,1994
FRA,1995,4.9,France,1995
FRA,1996,5,France,1996
FRA,1997,4.9,France,1997
FRA,1998,4.8,France,1998
FRA,1999,4.4,France,1999
FRA,2000,4.5,France,2000
FRA,2001,4.6,France,2001
FRA,2002,4.2,France,2002
FRA,2003,4.2,France,2003
FRA,2004,4,France,2004
FRA,2005,3.8,France,2005
FRA,2006,3.8,France,2006
FRA,2007,3.8,France,2007
FRA,2008,3.8,France,2008
FRA,2009,3.9,France,2009
FRA,2010,3.6,France,2010
FRA,2011,3.5,France,2011
FRA,2012,3.5,France,2012
FRA,2013,3.6,France,2013
FRA,2014,3.5,France,2014
FRA,2015,3.7,France,2015
FRA,2016,3.7,France,2016
FRA,2017,3.9,France,2017
FRA,2018,3.8,France,2018
FRA,2019,3.8,France,2019
FRA,2020,3.5,France,2020
DEU,1970,23.6,Germany,1970
DEU,1971,23.3,Germany,1971
DEU,1972,22.7,Germany,1972
DEU,1973,22.9,Germany,1973
DEU,1974,21.1,Germany,1974
DEU,1975,19.8,Germany,1975
DEU,1976,17.4,Germany,1976
DEU,1977,15.5,Germany,1977
DEU,1978,14.7,Germany,1978
DEU,1979,13.5,Germany,1979
DEU,1980,12.6,Germany,1980
DEU,1981,11.6,Germany,1981
DEU,1982,10.9,Germany,1982
DEU,1983,10.3,Germany,1983
DEU,1984,9.6,Germany,1984
DEU,1985,8.9,Germany,1985
DEU,1986,8.6,Germany,1986
DEU,1987,8.3,Germany,1987
DEU,1988,7.5,Germany,1988
DEU,1989,7.4,Germany,1989
DEU,1990,7,Germany,1990
DEU,1991,6.9,Germany,1991
DEU,1992,6.2,Germany,1992
DEU,1993,5.8,Germany,1993
DEU,1994,5.6,Germany,1994
DEU,1995,5.3,Germany,1995
DEU,1996,5,Germany,1996
DEU,1997,4.9,Germany,1997
DEU,1998,4.7,Germany,1998
DEU,1999,4.5,Germany,1999
DEU,2000,4.4,Germany,2000
DEU,2001,4.3,Germany,2001
DEU,2002,4.2,Germany,2002
DEU,2003,4.2,Germany,2003
DEU,2004,4.1,Germany,2004
DEU,2005,3.9,Germany,2005
DEU,2006,3.8,Germany,2006
DEU,2007,3.9,Germany,2007
DEU,2008,3.5,Germany,2008
DEU,2009,3.5,Germany,2009
DEU,2010,3.4,Germany,2010
DEU,2011,3.6,Germany,2011
DEU,2012,3.3,Germany,2012
DEU,2013,3.3,Germany,2013
DEU,2014,3.2,Germany,2014
DEU,2015,3.3,Germany,2015
DEU,2016,3.4,Germany,2016
DEU,2017,3.3,Germany,2017
DEU,2018,3.2,Germany,2018
DEU,2019,3.2,Germany,2019
JPN,1970,13.1,Japan,1970
JPN,1971,12.4,Japan,1971
JPN,1972,11.7,Japan,1972
JPN,1973,11.3,Japan,1973
JPN,1974,10.8,Japan,1974
JPN,1975,10,Japan,1975
JPN,1976,9.3,Japan,1976
JPN,1977,8.9,Japan,1977
JPN,1978,8.4,Japan,1978
JPN,1979,7.9,Japan,1979
JPN,1980,7.5,Japan,1980
JPN,1981,7.1,Japan,1981
JPN,1982,6.6,Japan,1982
JPN,1983,6.2,Japan,1983
JPN,1984,6,Japan,1984
JPN,1985,5.5,Japan,1985
JPN,1986,5.2,Japan,1986
JPN,1987,5,Japan,1987
JPN,1988,4.8,Japan,1988
JPN,1989,4.6,Japan,1989
JPN,1990,4.6,Japan,1990
JPN,1991,4.4,Japan,1991
JPN,1992,4.5,Japan,1992
JPN,1993,4.3,Japan,1993
JPN,1994,4.2,Japan,1994
JPN,1995,4.3,Japan,1995
JPN,1996,3.8,Japan,1996
JPN,1997,3.7,Japan,1997
JPN,1998,3.6,Japan,1998
JPN,1999,3.4,Japan,1999
JPN,2000,3.2,Japan,2000
JPN,2001,3.1,Japan,2001
JPN,2002,3,Japan,2002
JPN,2003,3,Japan,2003
JPN,2004,2.8,Japan,2004
JPN,2005,2.8,Japan,2005
JPN,2006,2.6,Japan,2006
JPN,2007,2.6,Japan,2007
JPN,2008,2.6,Japan,2008
JPN,2009,2.4,Japan,2009
JPN,2010,2.3,Japan,2010
JPN,2011,2.3,Japan,2011
JPN,2012,2.2,Japan,2012
JPN,2013,2.1,Japan,2013
JPN,2014,2.1,Japan,2014
JPN,2015,1.9,Japan,2015
JPN,2016,2,Japan,2016
JPN,2017,1.9,Japan,2017
JPN,2018,1.9,Japan,2018
JPN,2019,1.9,Japan,2019
MEX,1970,76.7,Mexico,1970
MEX,1971,71.2,Mexico,1971
MEX,1972,69.1,Mexico,1972
MEX,1973,67.4,Mexico,1973
MEX,1974,65.9,Mexico,1974
MEX,1975,64.6,Mexico,1975
MEX,1976,63.3,Mexico,1976
MEX,1977,61.8,Mexico,1977
MEX,1978,59.8,Mexico,1978
MEX,1979,57.4,Mexico,1979
MEX,1980,54.8,Mexico,1980
MEX,1981,51.9,Mexico,1981
MEX,1982,49,Mexico,1982
MEX,1983,46.1,Mexico,1983
MEX,1984,43.4,Mexico,1984
MEX,1985,41.1,Mexico,1985
MEX,1986,39.1,Mexico,1986
MEX,1987,37.3,Mexico,1987
MEX,1988,35.6,Mexico,1988
MEX,1989,36.6,Mexico,1989
MEX,1990,34.8,Mexico,1990
MEX,1991,30.9,Mexico,1991
MEX,1992,29.7,Mexico,1992
MEX,1993,28.8,Mexico,1993
MEX,1994,27.9,Mexico,1994
MEX,1995,27.2,Mexico,1995
MEX,1996,26.5,Mexico,1996
MEX,1997,25.6,Mexico,1997
MEX,1998,24.6,Mexico,1998
MEX,1999,23.6,Mexico,1999
MEX,2000,22.6,Mexico,2000
MEX,2001,21.5,Mexico,2001
MEX,2002,20.4,Mexico,2002
MEX,2003,19.5,Mexico,2003
MEX,2004,18.9,Mexico,2004
MEX,2005,18.3,Mexico,2005
MEX,2006,17.8,Mexico,2006
MEX,2007,17.4,Mexico,2007
MEX,2008,16.9,Mexico,2008
MEX,2009,16.5,Mexico,2009
MEX,2010,16.2,Mexico,2010
MEX,2011,15.3,Mexico,2011
MEX,2012,14.8,Mexico,2012
MEX,2013,14.4,Mexico,2013
MEX,2014,13.6,Mexico,2014
MEX,2015,13.6,Mexico,2015
MEX,2016,13.4,Mexico,2016
MEX,2017,13.5,Mexico,2017
MEX,2018,12.9,Mexico,2018
MEX,2019,13.1,Mexico,2019
GBR,1970,18.5,Great Britain,1970
GBR,1971,17.9,Great Britain,1971
GBR,1972,17.5,Great Britain,1972
GBR,1973,17.2,Great Britain,1973
GBR,1974,16.8,Great Britain,1974
GBR,1975,16,Great Britain,1975
GBR,1976,14.5,Great Britain,1976
GBR,1977,14.1,Great Britain,1977
GBR,1978,13.3,Great Britain,1978
GBR,1979,12.9,Great Britain,1979
GBR,1980,12.1,Great Britain,1980
GBR,1981,11.2,Great Britain,1981
GBR,1982,11,Great Britain,1982
GBR,1983,10.2,Great Britain,1983
GBR,1984,9.6,Great Britain,1984
GBR,1985,9.4,Great Britain,1985
GBR,1986,9.5,Great Britain,1986
GBR,1987,9.1,Great Britain,1987
GBR,1988,9,Great Britain,1988
GBR,1989,8.4,Great Britain,1989
GBR,1990,7.9,Great Britain,1990
GBR,1991,7.4,Great Britain,1991
GBR,1992,6.6,Great Britain,1992
GBR,1993,6.3,Great Britain,1993
GBR,1994,6.2,Great Britain,1994
GBR,1995,6.2,Great Britain,1995
GBR,1996,6.1,Great Britain,1996
GBR,1997,5.8,Great Britain,1997
GBR,1998,5.7,Great Britain,1998
GBR,1999,5.8,Great Britain,1999
GBR,2000,5.6,Great Britain,2000
GBR,2001,5.5,Great Britain,2001
GBR,2002,5.2,Great Britain,2002
GBR,2003,5.3,Great Britain,2003
GBR,2004,5,Great Britain,2004
GBR,2005,5.1,Great Britain,2005
GBR,2006,4.9,Great Britain,2006
GBR,2007,4.7,Great Britain,2007
GBR,2008,4.6,Great Britain,2008
GBR,2009,4.5,Great Britain,2009
GBR,2010,4.2,Great Britain,2010
GBR,2011,4.2,Great Britain,2011
GBR,2012,4,Great Britain,2012
